gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,176,65536,1536,cktile,12,0,27.2129,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1302.08,4556.75,0.0
gfx950,256,184,65536,1536,cktile,30,0,27.6073,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,1341.82,4530.08,0.0
gfx950,256,192,65536,1536,cktile,32,0,28.2282,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,1369.36,4468.02,0.0
gfx950,256,200,65536,1536,cktile,12,0,45.6393,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,882.25,2786.74,0.0
gfx950,256,208,65536,1536,cktile,12,0,45.8446,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,913.43,2797.4,0.0
gfx950,256,216,65536,1536,cktile,30,0,46.2495,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,940.26,2795.85,0.0
gfx950,256,224,65536,1536,cktile,31,0,46.2042,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,976.04,2821.55,0.0
gfx950,256,232,65536,1536,cktile,32,0,46.9108,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,995.67,2801.67,0.0
gfx950,256,240,65536,1536,cktile,12,0,47.1127,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1025.59,2812.18,0.0
gfx950,256,248,65536,1536,cktile,12,0,47.1957,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1057.91,2829.71,0.0
gfx950,256,272,65536,1536,cktile,12,0,47.8737,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1143.86,2856.11,0.0
gfx950,256,288,65536,1536,cktile,12,0,48.6503,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1191.81,2854.13,0.0
